cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
115,I-4m2 | 2a 2b 2c 2d,0.9187257751937985,8256,11280
116,C2/m | 4i 4i 4i,0.07853881278538813,7665,9769
117,R3m | 3a 3a 3a 3a,0.9049899754956561,8978,12018
118,P3m1 | 1a 1b 1c,0.9334964412811388,4496,6081
119,Pmmm | 1a 1d 1f 1g,0.4935467217346412,7748,10828
120,I4/mmm | 2a 4e,0.13238554845441503,7667,9812
121,F-43m | 4a 4c 16e,0.8980177035282384,8021,11384
122,C2/m | 2a 2d 4i,0.3805264762679134,9839,12637
123,I-4m2 | 2a 2b 2c 2d,0.7819238218205293,7745,10382
124,I4/mmm | 2a 2b 4d,0.6079591836734693,9800,13181
125,R-3m | 3a 3b 6c,0.7178197064989518,9540,12761
126,R-3m | 3a 3b 6c,0.8535328753680078,8152,11183
127,R-3m | 3a 3b 6c,0.9663243372342967,8374,11368
128,F-43m | 4a 4b 4c 4d,0.9932697700504767,7132,10958
129,C2/m | 2a 2d 4i,0.07976047904191617,8350,11119
130,Fm-3m | 4a 4b 8c,0.791869918699187,1230,13321
131,F-43m | 4a 4b 4c 4d,0.9698681732580038,7965,10610
132,F-43m | 4a 4b 4c 4d,0.9679214882085836,6827,10051
133,Pmmm | 1a 1d 1f 1g,0.3904775124930594,7204,9734
134,Cm | 2a 2a 2a 2a 2a 2a,0.21244865154491874,11198,15442
135,I-4m2 | 2a 2b 2c 2d,0.6209226018143216,10362,14254
136,P2/m | 1a 1g 2n,0.3043784316485992,7103,10140
137,P4/mmm | 1a 1b 2h,0.7216607059555279,6431,8760
138,R-3m | 3a 9e,0.054016937514305335,8738,11348
139,Immm | 2a 2c 4j,0.49353209313785884,8117,11110
140,F-43m | 4a 4c 16e,0.7911791179117912,7777,11598
141,F-43m | 4a 4b 4c 4d,0.9969710082215492,9244,13777
142,P4mm | 1a 1a 1b 1b,0.7360337298599609,6641,9060
143,I4mm | 2a 2a 2a,0.6824547421154503,8783,10967
144,Fm-3m | 4a 4b 8c,0.9314035087719298,5700,8794
145,C2/m | 2a 2d 4i,0.3549845041322314,7744,9991
146,Fm-3m | 4a 4b 8c,0.38412921348314605,4272,6370
147,Pm-3m | 1a 1b 3d,0.2101485561675847,5991,9138
148,R-3m | 3a 3b 6c,0.8767879903696361,7061,9869
149,Pm-3n | 2a 6c,0.12773634832812125,8314,11362
