cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,Cmmm | a b f,0.40919109543751375,9074,12123
53,Cm | a,0.17350186414476676,10997,15233
54,Cm | a,0.353017585931255,10008,12962
55,P4/mmm | a c e,0.5545175326337344,7814,10716
56,P4mm | a b,0.40894860422645446,7666,10591
57,P4mm | a b,0.29913805284725165,7077,9490
58,I-43m | a c g,0.09801921278585395,11763,15281
59,P2/m | a g n,0.2887909936368086,6129,8387
60,P3m1 | a b c,0.9544840887174542,5185,7060
61,Immm | a c j,0.3390944150835595,7001,9574
62,F-43m | a b c d,0.9893408744833587,9194,13333
63,I4/mmm | a b d,0.34936889735651344,8398,11541
64,R-3m | a b c,0.7350284376045501,8967,11686
65,Pm | a b,0.63014164305949,8825,12445
66,P4mm | a b,0.4489359022793099,7941,11007
67,F-43m | a c e,0.9584891189722942,10431,14822
68,Imm2 | a b,0.25141533710756564,7772,10713
69,Cm | a,0.7940398942561884,8322,10088
70,Fmm2 | a,0.23378291586384073,6228,8327
71,I4/mmm | a b d,0.37586612629101845,7649,10405
72,Imm2 | a b,0.44037727374803504,8906,12494
73,F-43m | a b c d,0.994993870044953,9788,12793
74,Fm-3m | a b c,0.6325411334552102,2188,9991
75,Cmmm | a b f,0.2981841763942931,7710,10422
76,R-3m | a b c,0.9281639928698753,5610,7988
77,Cm | a,0.8233728526494072,8266,9911
78,P4mm | a b,0.49870861704625497,8518,11611
79,P2/m | a c n,0.2460515378221114,7218,9656
80,Cmcm | c g,0.09007009345794392,8560,10896
81,P4/mmm | a c e,0.49970653832609463,8519,11795
82,R-3m | a b c,0.9296618130577736,8516,11732
83,Cmmm | a b f,0.2322741151193034,8843,12304
84,R-3m | a b c,0.47734580532008186,6842,8984
85,C2/m | a d i,0.3488139825218477,8010,10450
86,F-43m | a b c d,0.678452219062925,8089,12826
87,Pm-3m | a b d,0.16333887964503604,7212,10392
88,Cmmm | a b f,0.379062114356232,9724,12923
89,F-43m | a c e,0.8648674153062187,10597,14976
90,Imm2 | a b,0.32243830691289427,6119,8677
91,R-3m | a e,0.297907949790795,4780,6261
92,I-4m2 | a b c d,0.3329820864067439,7592,10716
93,P4mm | a b,0.5732572700709615,7187,9755
94,R-3m | a b c,0.7151277013752456,8653,12337
95,I4/mmm | a h i,0.16931533038594815,8369,12031
96,Cmmm | a b f,0.5305498981670062,6874,9171
97,P4mm | a b,0.6505038411653198,10023,13719
98,Pm | a b,0.5825681969394544,7515,10728
99,C2/m | a d i,0.3682758620689655,8700,11242
100,Imm2 | a,0.2149802890932983,7610,9909
101,F-43m | a b c d,0.9970926851959531,8599,11005
102,P3m1 | a b c,0.4325951825951826,5148,7116
103,F-43m | a b c d,0.5292058411682337,9998,14530
104,I-4m2 | a b c d,0.3645643064360159,9307,12189
105,Cm | a,0.6201061236196759,6973,8601
106,Pm | a b,0.28760692676820365,9586,12781
107,Cmmm | a b f,0.5646987769892797,6623,8987
108,Imm2 | a b,0.39158614188074475,8486,11315
109,Cm | a,0.7703671039576673,9071,10960
110,P4/mmm | a b h,0.4771315640880858,7084,9693
111,Pm | a b,0.5035033632286996,7136,9808
112,C2/m | a d i,0.44292382771058775,9426,11503
113,I-4m2 | a b c d,0.5061448618495599,11473,15618
114,I4/mmm | a b d,0.296259842519685,8128,10842
115,R-3m | a b c,0.8910004711795194,6367,9124
116,F-43m | a b c d,0.9594654134234102,6809,10381
117,Im-3m | a c,0.06071313845165435,9339,12002
118,Imm2 | a b,0.36722272317403065,8872,11987
119,R-3m | a b c,0.8061484549219496,6278,8746
