layer,variant,n_structures,same_sg_pairs,diff_sg_pairs,mean_cos_same_sg,mean_cos_diff_sg,ratio,delta,macro_mean_cos_same_sg,null_ratio,cc_n_structures,cc_same_sg_pairs,cc_diff_sg_pairs,cc_mean_cos_same_sg,cc_mean_cos_diff_sg,cc_ratio,cc_delta,cc_null_ratio
8,raw,1633057,77959743497.0,1255477022599.0,0.992379131929815,0.9894737577351701,1.0029362822125722,0.002905374194644872,0.9917685986707824,0.9999987185456916,1163971,3285.0,2480185.0,0.9962352591283378,0.9959126107673887,1.0003239725629145,0.0003226483609490849,0.9999071352545092
8,centered,1633057,77959743497.0,1255477022599.0,0.22854743321916457,-0.012374107040393349,-18.46981220326501,0.24092154025955792,0.6038700058070705,1.0007541068660972,1163971,3285.0,2480185.0,0.5970065865993619,0.5685864060009521,1.0499839255713093,0.028420180598409783,0.9492954358553156
9,raw,1633057,77959743497.0,1255477022599.0,0.9909413230350385,0.987895398941254,1.0030832455511471,0.003045924093784458,0.9907994770574724,0.9999912242765436,1163971,3285.0,2480185.0,0.9955719725263003,0.9953211101393199,1.0002520416621579,0.000250862386980355,0.999897286126863
9,centered,1633057,77959743497.0,1255477022599.0,0.21056124228628562,-0.011701432874186938,-17.99448362864845,0.22226267516047254,0.5952857616394918,0.9951836479879851,1163971,3285.0,2480185.0,0.5993754502695022,0.5767321100555072,1.0392614522742902,0.022643340213995056,0.9506950618523383
10,raw,1633057,77959743497.0,1255477022599.0,0.9897399964243959,0.9865772747896255,1.003205751557013,0.0031627216347703824,0.9899656579919074,1.0000078325836508,1163971,3285.0,2480185.0,0.994869094666894,0.9947386120828572,1.000131172734678,0.00013048258403680624,0.9998644151726289
10,centered,1633057,77959743497.0,1255477022599.0,0.19805573454311937,-0.010933698410093631,-18.114248913275386,0.20898943295321298,0.5824384651944114,1.0012109745235684,1163971,3285.0,2480185.0,0.5913652234063669,0.5763124271013255,1.0261191596730828,0.015052796305041416,0.9513825071334371
11,raw,1633057,77959743497.0,1255477022599.0,0.9891374390234479,0.9860621663380522,1.0031187411812141,0.003075272685395647,0.98967388313441,0.9999948435182255,1163971,3285.0,2480185.0,0.9947287264043948,0.9946120448424114,1.0001173136426293,0.00011668156198341162,0.9998571837046334
11,centered,1633057,77959743497.0,1255477022599.0,0.1918185695415759,-0.01008459373097207,-19.020951627675156,0.20190316327254795,0.5680204859008106,0.9929730361218103,1163971,3285.0,2480185.0,0.5973499129158581,0.58443202474826,1.0221033201819536,0.012917888167598202,0.9539345540594557
12,raw,1633057,77959743497.0,1255477022599.0,0.9882672405161772,0.9851561964187725,1.00315791963621,0.0031110440974047027,0.9889962949916103,0.9999913661290336,1163971,3285.0,2480185.0,0.9944706878732306,0.9943222262907729,1.0001493093270293,0.0001484615824576263,0.9998543280064696
12,centered,1633057,77959743497.0,1255477022599.0,0.184329802257175,-0.010167026436293533,-18.130158646894778,0.19449682869346852,0.5613971394956804,1.0002977125666943,1163971,3285.0,2480185.0,0.6048187343873366,0.589226859459394,1.0264615821183845,0.015591874927942562,0.9570678206123608
13,raw,1633057,77959743497.0,1255477022599.0,0.9877379982383254,0.9846486088325386,1.0031375552436415,0.0030893894057868465,0.9884931375184977,0.999999894393497,1163971,3285.0,2480185.0,0.9943759546761644,0.9942591958789869,1.0001174329567797,0.00011675879717742976,0.9998350642498125
13,centered,1633057,77959743497.0,1255477022599.0,0.1784024335716173,-0.010520858529914225,-16.957022382190686,0.18892329210153153,0.5544415502570246,0.9949008046108486,1163971,3285.0,2480185.0,0.6096909070061596,0.5966035812367394,1.0219363848642855,0.013087325769420177,0.9558958920717846
14,raw,1633057,77959743497.0,1255477022599.0,0.987601375178292,0.9845028894605906,1.003147259140498,0.003098485717701438,0.9878698938163907,1.0000005596657653,1163971,3285.0,2480185.0,0.9944993636356598,0.9943252702589981,1.0001750869477715,0.00017409337666174363,0.9998948539240345
14,centered,1633057,77959743497.0,1255477022599.0,0.1788530720437098,-0.010577637958749058,-16.908602160634118,0.18943071000245884,0.5476784211954232,1.0084984274476634,1163971,3285.0,2480185.0,0.6173325403917047,0.6016752100489955,1.0260228942146947,0.01565733034270922,0.9619098607177093
15,raw,1633057,77959743497.0,1255477022599.0,0.9947918730694579,0.9895040821518357,1.0053438798414283,0.005287790917622215,0.9883815658347241,1.0000081869731317,1163971,3285.0,2480185.0,0.9961068231555077,0.9945227970418234,1.0015927499283033,0.0015840261136842448,0.9997642343738893
15,centered,1633057,77959743497.0,1255477022599.0,0.5909485177663378,-0.03249875877100737,-18.18372578258379,0.6234472765373452,0.5224390415341453,1.002050630150502,1163971,3285.0,2480185.0,0.337037895852421,0.37325236972401904,0.9029759036804647,-0.03621447387159804,0.8939652280451702
