cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
91,Imm2 | 2a 2a 2b 2b,0.2009679062659195,7852,10292
92,F-43m | 4a 4b 4c 4d,0.9994089834515366,13536,18417
93,Pm | 1a 1a 1b 1b,0.3575584470538453,9453,12040
94,P6_3/mcm | 2b 4d 6g 6g,0.09083962174037635,10469,13491
95,Imm2 | 2a 2a 2b 2b,0.3140381717729784,7964,10991
96,Pmmm | 1a 1d 1f 1g,0.4540347293156282,7832,10728
97,P3m1 | 1a 1b 1c,0.7408563009187035,5769,7851
98,P3m1 | 1a 1b 1c,0.30044977511244375,3335,4561
99,F-43m | 4a 4b 4c 4d,0.996953541507997,7878,11248
100,Pm | 1a 1a 1b 1b,0.18277145112188523,8869,11790
101,Cmm2 | 2a 2a 2b 2b,0.4316702819956616,7376,10445
102,F-43m | 4a 4c 16e,0.9664817121503794,8831,12088
103,Cm | 2a 2a 2a 2a,0.6326051449571254,9796,11850
104,R3m | 3a 3a 3a 3a,0.47271745002701243,5553,7756
105,Pmmm | 1a 1d 1f 1g,0.5845263478525738,6566,9279
106,C2/m | 2a 2d 4i,0.13455233291298865,7930,10046
107,F-43m | 4a 4c 16e,0.9486977997305792,8908,12474
108,I4mm | 2a 2a 2a,0.25092250922509224,8401,10781
109,F-43m | 4a 4b 4c 4d,0.44612919132149903,8112,15020
110,I-4m2 | 2a 2b 2c 2d,0.3755315668956493,9171,12887
111,Cm | 2a 2a 2a 2a,0.6569753237234303,8186,9857
112,F-43m | 4a 4b 4c 4d,0.6444308445532436,4902,11920
113,Imm2 | 2a 2a 2b 2b,0.3363118163611154,6491,9334
114,P6/mmm | 2c 2e 3g,0.07194921232071479,8506,11827
115,F-43m | 4a 4b 4c 4d,0.999448275862069,7250,11356
116,P4mm | 1a 1a 1b 1b,0.27305555555555555,7200,10007
117,I4/mmm | 2a 2b 4d,0.46216286986122024,7638,10200
118,I4/mmm | 2a 2b 4d,0.5263910270508028,9094,12411
119,I-4m2 | 2a 2b 2c 2d,0.6642069956875899,10435,13984
120,F-43m | 4a 4b 4c 4d,0.615837176021625,6289,9259
121,F-43m | 4a 4b 4c 4d,0.9971554683668465,10195,13749
122,P3m1 | 1a 1b 1c,0.3640802092414996,5735,8036
123,I4mm | 2a 2a 2a,0.7056938624599458,8114,10083
124,P4mm | 1a 1a 1b 1b,0.3936540133294697,6902,9342
125,C2/m | 2a 2b 4f,0.40986421101919773,6407,8678
126,I-4m2 | 2a 2b 2c 2d,0.5710497770278414,8297,11734
127,R-3m | 3a 3b 6c,0.7260900140646976,8532,11020
128,P-6m2 | 1a 1b 2h,0.08127702874586619,7862,9860
129,Cmmm | 2a 2b 4f,0.24983968192894704,7797,10596
130,R-3m | 3a 3b 6c,0.6968167701863354,7728,10181
131,Pm | 1a 1a 1b 1b,0.5940495867768595,9075,12880
132,Immm | 2a 2c 4j,0.28437604550016726,8967,12305
133,R-3m | 3a 3b 6c,0.8456964892412231,7064,9932
134,I4/mmm | 2a 8h 8i,0.07437745740498033,12208,16355
135,P3m1 | 1a 1b 1c,0.3770944577425888,5431,7679
136,Pmmm | 1a 1d 1f 1g,0.5472170106316447,6396,9089
137,I4/mmm | 2a 4d 4e,0.11737782371179684,6773,9097
138,F-43m | 4a 4b 4c 4d,0.8505332239540607,6095,9499
139,I4/mmm | 2a 2b 4d,0.47614346824613357,9117,12091
