cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,R-3m | a b c,0.8319057815845824,8406,11469
88,P4/mmm | a b h,0.6176873075607253,5846,7957
89,I-4m2 | a b c d,0.6215973003374579,8890,11866
90,F-43m | a b c d,0.9881087697822856,11437,15181
91,Cmm2 | a b,0.2380710659898477,7880,10814
92,Pm | a b,0.7881278538812785,7665,10631
93,Pmmm | a d f g,0.28423615337796715,8215,10986
94,Fm-3m | a b c,0.848042080654588,1711,12691
95,Imm2 | a,0.20252025202520252,7777,10552
96,P2/m | a c n,0.2502274795268426,6594,9115
97,Pmmm | a d f g,0.7707977395189907,7609,10828
98,P2/m | a g n,0.43213415508098035,6977,9970
99,I4_1/amd | a e,0.05438468992248062,8256,10364
100,Cm | a,0.5955612800951154,10093,12635
101,Cm | a,0.8861651448987694,10076,11850
102,Imm2 | a b,0.24711447492904445,10570,14056
103,P4/mmm | a b h,0.7748538011695907,7182,9823
104,R-3m | a e,0.24012158054711247,5264,6680
105,I-4m2 | a b c d,0.6438298469745893,7123,9934
106,I4/mmm | a e,0.16902848794740685,6845,8991
107,P4/mmm | a c e,0.5250544662309368,6885,9576
108,I-4m2 | a b c d,0.7599562894609033,8236,11193
109,I4/mmm | a b d,0.47093889716840537,6039,8417
110,Immm | a c j,0.4256286784376672,7476,9922
111,R-3m | a b c,0.805068493150685,7300,9417
112,I4/mmm | a b d,0.5962413913855492,8567,11646
113,Cmm2 | a b,0.27005381053685396,7991,11122
114,P4mm | a b,0.7634304654053308,7241,10007
115,F-43m | a b c d,0.9938158961881589,9864,13716
116,P3m1 | a b c,0.9432624113475178,3807,5134
117,Imm2 | a b,0.43291770573566085,8020,10879
118,Pmmm | a d f g,0.7655837090004664,6433,9101
119,Fm-3m | a b d,0.1362530413625304,6987,10641
120,P6/mmm | a c g,0.09483695652173912,7360,9214
121,F-43m | a b c d,0.9432851107412623,7811,11828
122,C2/m | a b f,0.10441950996107167,8734,11041
123,I4mm | a,0.55484019314785,8698,10976
124,P3m1 | a b c,0.4216798001153181,5203,7362
125,I4/mmm | a b d,0.48016900640588794,7337,9834
126,P2/m | a c n,0.2319861738899229,7522,10107
127,R3m | a,0.9677179962894249,5390,7637
128,Cm | a,0.9802756920318278,8923,10550
129,F-43m | a b c d,0.8846285518657994,8763,12604
130,F-43m | a c e,0.47893175074183975,10110,14101
131,R-3m | a b c,0.8412129894937918,8376,11853
132,I4/mmm | a h i,0.20367002810381882,6049,8300
133,Cmmm | a b f,0.3496766607877719,8505,11355
134,Cm | a,0.9309895833333334,8448,10044
135,Imm2 | a b,0.5239759036144578,8300,11481
136,P3m1 | a b c,0.9638519375361481,3458,4784
137,Im-3m | a c,0.0703740157480315,8128,10399
138,R3m | a,0.9053884711779449,6384,8564
139,I-4m2 | a b c d,0.7780429594272077,10056,13402
140,F-43m | a b c d,0.9682539682539683,11907,16750
141,Immm | a c j,0.46061963419186264,8037,10878
142,Pmm2 | a d,0.30573770491803276,7320,9895
143,F-43m | a c e,0.9374819659517168,10397,14367
144,Pmm2 | a d,0.614656912209889,7928,10896
145,I4/mmm | a e,0.11986515170433262,8009,11002
