cluster_i,cluster_k,epsilon
15,37,1.6101443009768008e-30
15,38,1.1107988576972557e-16
15,39,4.107087204843519e-30
15,40,4.800931447921997e-16
15,41,4.46822643161652e-16
15,42,1.2945698651231054e-15
15,43,2.5151581475936125e-30
15,44,1.3963681107408215e-30
15,45,1.0409484416045624e-30
15,46,2.1883005977010314e-30
15,47,7.228441414812926e-16
15,48,2.227003288220127e-30
15,49,4.0715095023603224e-30
16,17,2.6478719800180666e-30
16,18,1.7445195162711156e-30
16,19,5.413923924893608e-30
16,20,2.3296735122416582e-30
16,21,2.2135082096191917e-30
16,22,2.0649943941310485e-30
16,23,2.336840477027326e-30
16,24,2.0226803422635495e-25
16,25,2.20580607337341e-30
16,26,8.562174038154913e-16
16,27,3.8180243268243815e-24
16,28,2.536603983822597e-30
16,29,4.504439373127992e-16
16,30,4.3260839441160885e-30
16,31,1.2560761020453223e-15
16,32,3.117269900707692e-30
16,33,5.075784146522687e-30
16,34,3.8327575802782985e-16
16,35,2.405247046202717e-30
16,36,5.1875228043180966e-30
16,37,5.512232639092155e-25
16,38,4.93152978306742e-16
16,39,4.5915660743209824e-30
16,40,6.585912592827587e-16
16,41,4.193584123954826e-16
16,42,1.4960569450888923e-15
16,43,3.1802324272763e-30
16,44,1.1548921082574404e-30
16,45,1.1459217955171075e-30
16,46,3.2741876522745547e-26
16,47,7.646644103644127e-16
16,48,2.69144585674611e-30
16,49,3.469460676509779e-16
17,18,1.095995707582978e-25
17,19,1.773765331551028e-25
17,20,1.9608757042427685e-30
17,21,3.158642012443794e-30
17,22,3.1554084263821162e-30
17,23,9.438230360677233e-30
17,24,7.205084713527694e-16
17,25,1.743170916415232e-25
17,26,1.4298319315593842e-15
17,27,6.279209275949652e-16
17,28,3.452041452484653e-30
17,29,3.574228385369995e-16
17,30,1.5269779801884593e-25
17,31,1.8843753531596807e-15
17,32,3.633658938301492e-16
17,33,4.004980919408854e-30
17,34,8.798878139470077e-16
17,35,2.6219084625899343e-16
17,36,3.865747953788707e-30
17,37,5.113695175807888e-16
17,38,5.310471492337621e-16
17,39,1.796052125543833e-25
17,40,6.521701893200516e-16
17,41,8.603519448472923e-16
17,42,1.1571646664602957e-15
17,43,1.1989660199735526e-25
17,44,1.924031989127412e-30
17,45,1.759852547402197e-30
17,46,4.599063864691651e-16
17,47,1.1434072695867997e-15
17,48,2.351202702914936e-30
17,49,8.590514311516993e-16
18,19,7.996232584152624e-30
18,20,1.3656905741217464e-30
18,21,2.3920654627753255e-30
18,22,2.2990203524560805e-30
18,23,1.9764486041887746e-30
18,24,3.568403037422463e-16
18,25,1.649159617694582e-30
18,26,8.640691633448211e-16
18,27,2.9802933013954556e-16
18,28,2.6960360676608127e-30
18,29,1.0316927987347392e-15
18,30,3.1206512554362746e-30
18,31,1.355465150770106e-15
18,32,4.663922707360231e-16
18,33,3.4065174195731026e-30
18,34,6.442246608787011e-16
18,35,2.742711430517446e-30
18,36,3.1713289679327966e-30
18,37,1.6681447445595233e-30
18,38,4.997750075722143e-16
18,39,3.732259820926788e-30
18,40,5.753215182751319e-16
18,41,8.102032680149186e-16
18,42,9.663515311649079e-16
18,43,2.9364224248950616e-30
18,44,1.389361605869287e-30
18,45,1.3658807933911491e-30
18,46,2.6153540133780405e-30
18,47,1.0894853491156518e-15
18,48,1.7936780031127938e-30
18,49,4.944677047823537e-16
19,20,3.977125827232397e-30
19,21,6.745677930294618e-30
19,22,3.18648781945962e-30
19,23,5.2932216729044336e-30
19,24,3.398588423353181e-15
19,25,4.851417610189983e-30
19,26,1.0240910692456632e-15
19,27,1.2512251506695697e-15
19,28,5.102320614771239e-30
19,29,5.834610603696271e-16
19,30,8.639048615999727e-30
19,31,4.230019391602748e-15
19,32,1.3465949508804253e-15
19,33,6.390828036399544e-30
19,34,2.807244652982946e-15
19,35,7.747346746257774e-30
19,36,7.988727377043278e-30
19,37,1.387824580292444e-16
19,38,2.3424911939587408e-15
19,39,9.574562333848559e-30
19,40,4.36943473177709e-15
19,41,2.9687236720397963e-15
19,42,1.0808539301034576e-15
19,43,7.567288158785746e-30
19,44,3.594993497747596e-30
19,45,4.004958369864916e-30
19,46,1.527823434878422e-22
19,47,4.865989795976043e-15
19,48,4.710459727378377e-30
19,49,3.1158186469944365e-15
20,21,1.8702525507649924e-30
20,22,1.463684565279268e-30
20,23,2.279690099880921e-30
20,24,3.687158637858053e-30
20,25,1.7274045361461104e-30
20,26,5.733753140591599e-16
20,27,7.253378777593131e-30
20,28,2.182227479573749e-30
20,29,3.822068886490777e-30
20,30,4.3165662449736436e-30
20,31,8.646031975439083e-16
20,32,2.692393736621608e-30
20,33,4.6515140915230134e-30
20,34,5.094301327854972e-16
20,35,1.8576913559193063e-30
20,36,4.820867535328055e-30
20,37,1.8013842264383536e-30
20,38,1.4707601159929064e-16
20,39,4.132443495533812e-30
20,40,4.694927416387816e-16
20,41,4.577566798522236e-16
20,42,1.3927826361933734e-15
20,43,2.4289321735808618e-30
20,44,1.1939113262659646e-30
20,45,9.662573167407892e-31
20,46,1.913389235612734e-30
20,47,8.058096057226451e-16
20,48,2.4007244245914236e-30
20,49,2.3513023299028587e-16
21,22,2.62955353876655e-30
21,23,1.9251016884175297e-30
21,24,1.5428802861487362e-16
21,25,2.0056721419992164e-30
21,26,7.369679065548104e-16
21,27,6.820465880765335e-16
21,28,3.3971413750077134e-30
21,29,1.345237538331775e-15
21,30,4.2567760402451566e-30
21,31,1.6941641796983892e-15
21,32,3.2049874474560573e-16
21,33,4.673920114559564e-30
21,34,8.23216651766203e-16
21,35,3.2519246593594636e-30
21,36,4.57697512603273e-30
21,37,1.341833600408758e-23
21,38,9.05725449444331e-16
21,39,4.191502106789069e-30
21,40,5.128951975245823e-16
21,41,1.0385172775401992e-15
21,42,1.3325184379851279e-15
21,43,3.276419896088518e-30
21,44,1.8368542412210722e-30
