layer,variant,distance,mean_cos
7,raw,20,0.965307
7,raw,21,0.965311
7,raw,22,0.965333
7,raw,23,0.965456
7,raw,24,0.965508
7,raw,25,0.966459
7,raw,26,0.966682
7,raw,27,0.966073
7,raw,28,0.961161
7,centered,0,0.247444
7,centered,1,0.231987
7,centered,2,0.215854
7,centered,3,0.196269
7,centered,4,0.176159
7,centered,5,0.152638
7,centered,6,0.130946
7,centered,7,0.107221
7,centered,8,0.0843209
7,centered,9,0.0618611
7,centered,10,0.0420593
7,centered,11,0.0189755
7,centered,12,-0.00165419
7,centered,13,-0.0253221
7,centered,14,-0.0501675
7,centered,15,-0.0701841
7,centered,16,-0.0855464
7,centered,17,-0.094974
7,centered,18,-0.0996387
7,centered,19,-0.101747
7,centered,20,-0.102069
7,centered,21,-0.0904613
7,centered,22,-0.0756589
7,centered,23,-0.061494
7,centered,24,-0.0526842
7,centered,25,-0.0277548
7,centered,26,-0.0165296
7,centered,27,-0.0385927
7,centered,28,-0.12183
8,raw,0,0.977852
8,raw,1,0.977432
8,raw,2,0.976999
8,raw,3,0.976391
8,raw,4,0.975745
8,raw,5,0.974983
8,raw,6,0.974209
8,raw,7,0.973309
8,raw,8,0.97236
8,raw,9,0.971404
8,raw,10,0.970494
8,raw,11,0.96951
8,raw,12,0.968591
8,raw,13,0.967507
8,raw,14,0.966332
8,raw,15,0.965338
8,raw,16,0.96441
8,raw,17,0.963707
8,raw,18,0.96314
8,raw,19,0.962764
8,raw,20,0.962168
8,raw,21,0.962129
8,raw,22,0.962126
8,raw,23,0.962236
8,raw,24,0.96224
8,raw,25,0.963167
8,raw,26,0.963349
8,raw,27,0.962697
8,raw,28,0.957618
8,centered,0,0.238248
8,centered,1,0.222777
8,centered,2,0.206742
8,centered,3,0.187339
8,centered,4,0.167524
8,centered,5,0.14459
8,centered,6,0.123322
8,centered,7,0.100137
8,centered,8,0.077744
8,centered,9,0.0560686
8,centered,10,0.0371511
8,centered,11,0.0153319
8,centered,12,-0.00417856
8,centered,13,-0.0265326
8,centered,14,-0.0498141
8,centered,15,-0.0685343
8,centered,16,-0.082941
8,centered,17,-0.0917436
8,centered,18,-0.0962681
8,centered,19,-0.0984319
8,centered,20,-0.0988845
8,centered,21,-0.0881642
8,centered,22,-0.0742603
8,centered,23,-0.0611348
8,centered,24,-0.0526682
8,centered,25,-0.0293466
8,centered,26,-0.01851
8,centered,27,-0.0381163
8,centered,28,-0.117356
9,raw,0,0.976276
9,raw,1,0.975826
9,raw,2,0.975371
9,raw,3,0.974732
9,raw,4,0.97406
9,raw,5,0.973272
9,raw,6,0.972468
9,raw,7,0.971545
9,raw,8,0.97057
9,raw,9,0.9696
9,raw,10,0.968688
9,raw,11,0.967704
9,raw,12,0.966786
9,raw,13,0.965698
9,raw,14,0.964518
9,raw,15,0.963518
9,raw,16,0.962578
9,raw,17,0.961859
9,raw,18,0.961269
9,raw,19,0.960847
9,raw,20,0.96019
9,raw,21,0.960086
9,raw,22,0.960033
9,raw,23,0.960099
9,raw,24,0.960022
9,raw,25,0.960885
9,raw,26,0.961014
9,raw,27,0.960345
9,raw,28,0.955244
9,centered,0,0.230233
9,centered,1,0.214691
9,centered,2,0.198625
9,centered,3,0.179231
9,centered,4,0.159631
9,centered,5,0.137193
9,centered,6,0.116242
9,centered,7,0.0934838
9,centered,8,0.0715744
9,centered,9,0.0506032
9,centered,10,0.0325958
9,centered,11,0.0119858
9,centered,12,-0.00645227
9,centered,13,-0.0275823
9,centered,14,-0.0494206
9,centered,15,-0.0669367
9,centered,16,-0.0803016
9,centered,17,-0.0884046
9,centered,18,-0.0927056
9,centered,19,-0.0949218
9,centered,20,-0.0958798
9,centered,21,-0.0863744
9,centered,22,-0.0735202
9,centered,23,-0.0618389
9,centered,24,-0.0542141
9,centered,25,-0.0328819
9,centered,26,-0.0231815
9,centered,27,-0.0400441
9,centered,28,-0.116452
10,raw,0,0.974875
10,raw,1,0.974404
10,raw,2,0.973926
10,raw,3,0.97326
10,raw,4,0.972564
10,raw,5,0.971748
10,raw,6,0.970917
10,raw,7,0.969967
10,raw,8,0.968962
10,raw,9,0.967971
10,raw,10,0.967048
10,raw,11,0.966056
10,raw,12,0.965131
10,raw,13,0.96403
10,raw,14,0.962832
10,raw,15,0.961817
10,raw,16,0.960856
10,raw,17,0.960117
10,raw,18,0.959504
10,raw,19,0.959024
10,raw,20,0.958301
10,raw,21,0.95812
10,raw,22,0.958005
10,raw,23,0.95803
10,raw,24,0.957896
10,raw,25,0.958682
10,raw,26,0.958772
10,raw,27,0.95807
10,raw,28,0.952983
10,centered,0,0.22469
10,centered,1,0.209255
10,centered,2,0.193247
10,centered,3,0.173988
10,centered,4,0.154649
10,centered,5,0.132585
10,centered,6,0.111931
10,centered,7,0.0894892
10,centered,8,0.0679091
10,centered,9,0.0474583
10,centered,10,0.0300999
10,centered,11,0.010419
10,centered,12,-0.00721542
10,centered,13,-0.0273816
10,centered,14,-0.048169
10,centered,15,-0.0648179
10,centered,16,-0.0774414
10,centered,17,-0.0849182
10,centered,18,-0.088897
10,centered,19,-0.0912296
10,centered,20,-0.0924884
10,centered,21,-0.0837617
10,centered,22,-0.0716897
10,centered,23,-0.0608173
10,centered,24,-0.0538332
10,centered,25,-0.0338817
10,centered,26,-0.0250975
10,centered,27,-0.0414472
10,centered,28,-0.115651
11,raw,0,0.974724
11,raw,1,0.974258
11,raw,2,0.973784
11,raw,3,0.973136
11,raw,4,0.972465
11,raw,5,0.971683
11,raw,6,0.970887
11,raw,7,0.969986
11,raw,8,0.969032
11,raw,9,0.968097
11,raw,10,0.96723
11,raw,11,0.966299
11,raw,12,0.965435
11,raw,13,0.964397
11,raw,14,0.963264
11,raw,15,0.962307
11,raw,16,0.961397
11,raw,17,0.9607
11,raw,18,0.960132
11,raw,19,0.959663
11,raw,20,0.958968
11,raw,21,0.958777
11,raw,22,0.958662
11,raw,23,0.958691
11,raw,24,0.958548
11,raw,25,0.959274
11,raw,26,0.959369
11,raw,27,0.95871
11,raw,28,0.953974
11,centered,0,0.219664
11,centered,1,0.204308
11,centered,2,0.188409
11,centered,3,0.169419
11,centered,4,0.150463
11,centered,5,0.128911
11,centered,6,0.108713
11,centered,7,0.0867785
11,centered,8,0.0657366
11,centered,9,0.0459173
11,centered,10,0.0290366
11,centered,11,0.00994319
11,centered,12,-0.007099
11,centered,13,-0.0265548
11,centered,14,-0.046588
11,centered,15,-0.0626001
11,centered,16,-0.0746829
11,centered,17,-0.0817681
11,centered,18,-0.085552
11,centered,19,-0.0879322
11,centered,20,-0.0892041
11,centered,21,-0.0808282
11,centered,22,-0.0692857
11,centered,23,-0.058835
11,centered,24,-0.0521691
11,centered,25,-0.0329118
11,centered,26,-0.024115
11,centered,27,-0.0392846
11,centered,28,-0.111764
12,raw,0,0.973385
12,raw,1,0.9729
12,raw,2,0.972407
12,raw,3,0.971744
12,raw,4,0.971064
12,raw,5,0.970275
12,raw,6,0.969473
12,raw,7,0.968572
12,raw,8,0.967617
12,raw,9,0.96669
12,raw,10,0.965839
12,raw,11,0.964927
12,raw,12,0.964085
12,raw,13,0.963068
12,raw,14,0.961952
12,raw,15,0.961016
12,raw,16,0.960129
12,raw,17,0.959457
12,raw,18,0.958916
12,raw,19,0.958453
12,raw,20,0.957758
12,raw,21,0.95755
12,raw,22,0.957416
12,raw,23,0.957441
12,raw,24,0.95728
12,raw,25,0.957976
12,raw,26,0.958045
12,raw,27,0.957393
12,raw,28,0.95273
12,centered,0,0.215024
12,centered,1,0.199685
12,centered,2,0.183867
12,centered,3,0.165035
12,centered,4,0.146371
12,centered,5,0.125175
12,centered,6,0.105317
12,centered,7,0.0837817
12,centered,8,0.0631414
12,centered,9,0.0438663
12,centered,10,0.0275302
12,centered,11,0.00909691
12,centered,12,-0.00728864
12,centered,13,-0.0259712
12,centered,14,-0.0451859
12,centered,15,-0.0605338
12,centered,16,-0.0720192
12,centered,17,-0.0786868
12,centered,18,-0.0822077
12,centered,19,-0.0844473
12,centered,20,-0.0856484
12,centered,21,-0.0777622
12,centered,22,-0.0668333
12,centered,23,-0.0568526
12,centered,24,-0.0505652
12,centered,25,-0.0323408
12,centered,26,-0.0241801
12,centered,27,-0.0386423
12,centered,28,-0.107992
13,raw,0,0.972384
13,raw,1,0.971888
13,raw,2,0.971378
13,raw,3,0.970714
13,raw,4,0.970042
13,raw,5,0.969269
13,raw,6,0.968488
13,raw,7,0.967618
13,raw,8,0.966699
13,raw,9,0.965818
13,raw,10,0.965012
13,raw,11,0.964152
13,raw,12,0.963365
13,raw,13,0.962406
13,raw,14,0.961346
13,raw,15,0.960466
13,raw,16,0.95963
13,raw,17,0.959009
13,raw,18,0.958524
13,raw,19,0.958094
13,raw,20,0.957446
13,raw,21,0.957262
13,raw,22,0.957157
13,raw,23,0.957226
13,raw,24,0.957107
13,raw,25,0.957816
13,raw,26,0.957928
13,raw,27,0.957367
13,raw,28,0.952967
13,centered,0,0.211514
13,centered,1,0.196263
13,centered,2,0.180517
13,centered,3,0.161835
13,centered,4,0.143397
13,centered,5,0.122466
13,centered,6,0.102854
13,centered,7,0.0816764
13,centered,8,0.0614442
13,centered,9,0.0426286
13,centered,10,0.026639
13,centered,11,0.00866158
13,centered,12,-0.00712934
13,centered,13,-0.0250843
13,centered,14,-0.0436237
13,centered,15,-0.0584203
13,centered,16,-0.0695573
13,centered,17,-0.0760292
13,centered,18,-0.0793144
13,centered,19,-0.0812736
13,centered,20,-0.0820944
13,centered,21,-0.0741349
13,centered,22,-0.0631394
13,centered,23,-0.0529057
13,centered,24,-0.0461966
13,centered,25,-0.0275702
13,centered,26,-0.0184147
13,centered,27,-0.0314538
13,centered,28,-0.0969625
14,raw,0,0.970545
14,raw,1,0.970016
14,raw,2,0.96947
14,raw,3,0.968776
14,raw,4,0.96808
14,raw,5,0.967282
14,raw,6,0.966487
14,raw,7,0.965609
14,raw,8,0.964684
14,raw,9,0.963797
14,raw,10,0.962986
14,raw,11,0.962109
14,raw,12,0.961321
14,raw,13,0.960351
14,raw,14,0.959272
14,raw,15,0.958386
14,raw,16,0.957549
14,raw,17,0.956946
14,raw,18,0.956496
14,raw,19,0.956082
14,raw,20,0.95546
14,raw,21,0.955324
14,raw,22,0.955257
14,raw,23,0.955401
14,raw,24,0.955352
14,raw,25,0.956142
14,raw,26,0.956312
14,raw,27,0.955781
14,raw,28,0.951461
14,centered,0,0.213902
14,centered,1,0.198773
14,centered,2,0.183193
14,centered,3,0.164602
14,centered,4,0.146092
14,centered,5,0.124807
14,centered,6,0.10498
14,centered,7,0.083595
14,centered,8,0.0630639
14,centered,9,0.0436934
14,centered,10,0.0270094
14,centered,11,0.00804073
14,centered,12,-0.00836833
14,centered,13,-0.0269986
14,centered,14,-0.0464916
14,centered,15,-0.0621307
14,centered,16,-0.074072
14,centered,17,-0.0812782
14,centered,18,-0.0849228
14,centered,19,-0.0869506
14,centered,20,-0.0876029
14,centered,21,-0.0790564
