cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,Pmmm | a d f g,0.4189993666877771,7895,10836
117,Pmmm | a d f g,0.5335895721925134,5984,8430
118,Immm | a c j,0.28109854604200324,6809,9229
119,Pmmm | a c t,0.27059676250302006,8278,11767
120,I4mm | a,0.661515317286652,7312,9174
121,Cmm2 | a b,0.35628266303112927,8802,12200
122,C2/m | a d i,0.6586018237082066,8225,10209
123,F-43m | a b c d,0.9950833105708823,7322,10532
124,Cm | a,0.599481865284974,9650,11667
125,Pm | a b,0.5755426917510854,6910,9607
126,P3m1 | a b c,0.3626991565135895,5335,7491
127,Cmmm | a b f,0.16309914642153645,7615,10021
128,Pm | a b,0.36119503188989593,8937,11399
129,R-3m | a b c,0.8595207609292116,5467,7682
130,Cm | a,0.4041240461113817,6159,8013
131,I4/mmm | a b d,0.3875739644970414,7098,9431
132,R-3m | a b c,0.9331091842151832,5651,7920
133,P4mm | a b,0.30039011703511054,6921,9582
134,Immm | a c j,0.20050222136372417,10354,13458
135,I4/mmm | a b d,0.49843867772154626,9287,12287
136,F-43m | a b c d,0.7975986277873071,9328,14836
137,Imm2 | a b,0.3738071320944249,7964,11204
138,I4/mmm | a b d,0.3977814885496183,8384,11339
139,P2/m | a g n,0.2691588785046729,6420,8844
140,F-43m | a c e,0.97375,8800,12145
141,F-43m | a b c d,0.9927644710578842,8016,12154
142,F-43m | a c e,0.9686186606892687,7138,9861
143,R-3m | a b c,0.9466321243523316,5790,8283
144,I4/mmm | a b d,0.43662994794819027,8261,11502
145,P3m1 | a b c,0.3580645161290323,6820,9438
146,Cmmm | a b f,0.3145062484685126,8162,10769
147,F-43m | a b c d,0.9966165922316957,7389,10521
148,P4mm | a b,0.5898366606170599,6061,8220
149,F-43m | a b c d,0.9942311517803859,10054,13798
