chemsys,n_elements,n_entries,status,n_prompts
Ba-Cr,2,17,ok,1
Ba-Cr-Nd-O,4,219,ok,1
Ba-Cr-P,3,50,ok,1
Ba-Cu-Fe,3,38,ok,1
Ba-Cu-Ga,3,45,ok,1
Ba-Cu-S-Th,4,116,ok,1
Ba-Fe-P,3,59,ok,1
Ba-Fe-Sn-Y,4,79,ok,1
Ba-Ga-K-Re,4,71,ok,1
Ba-Ga-Li-Ru,4,58,ok,1
Ba-Ge-Hf,3,59,ok,1
Ba-H-I,3,44,ok,1
Ba-Hf-Pb,3,32,ok,1
Ba-Hf-Te,3,37,ok,1
Ba-Hg-In-Na,4,106,ok,1
Ba-In-Pb,3,41,ok,1
Ba-K-Na,3,59,ok,1
Ba-Li-Tl,3,43,ok,2
Ba-Li-Y,3,34,ok,1
Ba-Lu-O,3,76,ok,1
Ba-Lu-Pm,3,23,ok,1
Ba-Mn-Os,3,27,ok,1
Ba-Mn-P,3,60,ok,1
Ba-Mn-Pb,3,33,ok,1
Ba-Mo-Zr,3,31,ok,1
Ba-Nb-Y,3,24,ok,1
Ba-Ni-Se,3,43,ok,1
Ba-O-V,3,311,ok,1
Ba-Pd,2,21,ok,1
Ba-Ru-Si,3,85,ok,1
Ba-Sn,2,28,ok,1
Ba-Ta-W-Zr,4,44,ok,1
Ba-Tc-Tl,3,23,ok,1
Ba-W,2,19,ok,1
Be-Bi-Tl,3,29,ok,1
Be-Br-Cl,3,23,ok,1
Be-Ca-Ir-Sc,4,47,ok,1
Be-Ca-Se-Te,4,48,ok,1
Be-Cd-O,3,49,ok,1
Be-Cl,2,11,ok,1
Be-Cl-Li,3,28,ok,1
Be-Cl-Te,3,26,ok,1
Be-Co-Si,3,70,ok,1
Be-Co-Tl,3,24,ok,1
Be-Cr-Pb,3,22,ok,1
Be-Cr-Pd,3,24,ok,1
Be-Cu-Se,3,56,ok,1
Be-Cu-W,3,29,ok,1
Be-Fe-Ti,3,45,ok,1
Be-Fe-Tl,3,25,ok,1
Be-Ga-In,3,24,ok,1
Be-Ga-P,3,39,ok,1
Be-In-Ni,3,35,ok,1
Be-In-Re,3,19,ok,1
Be-K-Rb,3,51,ok,1
Be-K-Tc,3,34,ok,1
Be-La-Se,3,32,ok,1
Be-La-Tc,3,12,ok,1
Be-Li-Sr,3,33,ok,1
Be-Mn-Pd,3,33,ok,1
Be-Mo-Sc,3,31,ok,1
Be-Na-Y,3,26,ok,1
Be-Nb-Se,3,50,ok,1
Be-Ni,2,14,ok,1
Be-Ni-Sc,3,36,ok,1
Be-Ni-Sr,3,27,ok,1
Be-Os-P,3,32,ok,1
Be-Os-Zr,3,26,ok,1
Be-Pb-Rh,3,25,ok,1
Be-Pb-Ta,3,31,ok,1
Be-Pd-Ti,3,48,ok,1
Be-Rb,2,23,ok,1
Be-Ru-Te,3,27,ok,1
Be-Sc,2,17,ok,1
Be-Se-V,3,30,ok,1
Be-Th-Zr,3,23,ok,1
Bi-Br-Ge,3,48,ok,1
Bi-Br-Sb,3,45,ok,1
Bi-Ca-Ni,3,50,ok,1
Bi-Ca-Ru,3,34,ok,1
Bi-Ca-V,3,45,ok,1
Bi-Cd,2,21,ok,1
Bi-Cl-Mo,3,45,ok,1
Bi-Co-Y,3,50,ok,1
Bi-Cr-Si,3,70,ok,1
Bi-Hf-K,3,56,ok,1
Bi-Hf-Li,3,37,ok,1
Bi-Hf-Tl,3,40,ok,1
Bi-Hg-Na,3,72,ok,1
Bi-Hg-P,3,57,ok,1
Bi-I-O-Sr,4,211,ok,1
Bi-Ir-Pd,3,35,ok,1
Bi-K-Os,3,50,ok,1
Bi-La-Pb-Tl,4,63,ok,1
Bi-Li-Mo,3,38,ok,1
Bi-Li-P,3,47,ok,1
Bi-Li-Pd-Y,4,77,ok,1
Bi-Li-Sn,3,54,ok,1
Bi-Mn-Mo-Y,4,56,ok,1
Bi-Ni-Sr,3,46,ok,1
Bi-O-P-Pa,4,204,ok,1
Bi-Os-P,3,36,ok,1
