cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
284,F-43m | 4a 4b 4c 4d,0.9992226972405752,5146,6896
285,F-43m | 4a 4b 4c 4d,0.9988518943742825,5226,7258
286,P2/m | 1a 1g 2n,0.4869474416985729,2873,4014
287,Amm2 | 2a 2a 2a 2b 2b 2b,0.18132464712269272,2763,3727
288,Imm2 | 2a 2a 2b 2b,0.3588012958963283,3704,5142
289,P4/mmm | 1a 1c 2e,0.6682708834651083,2909,4136
290,Fmm2 | 4a 4a 4a,0.36236263736263735,3640,4884
291,P4/mmm | 1a 1b 2h,0.3382867132867133,3432,4672
292,I-4m2 | 2a 2b 2c 2d,0.6297935103244838,4068,5873
293,F-43m | 4a 4b 4c 4d,1.0,4525,7272
294,I4/mmm | 2a 2b 4d,0.8613738178198108,4018,5293
295,I4/mmm | 4c 4d 4e 4e,0.0930493273542601,4460,5676
296,P4/mmm | 1a 1c 2e,0.7809292274446246,3702,5070
297,I4/mmm | 2a 8h 8i,0.20947337452191822,3399,4353
298,C2/m | 2a 2d 4i,0.6901749663526245,3715,4657
299,C2/m | 2a 2b 4f,0.4655881546476556,3647,4832
