sg_sites,n_materials
P2_1/c | 4e 4e 4e 4e 4e 4e 4e,66
Cmcm | 4a 4c 4c,66
P4/mmm | 1a 1b 2h 4i,65
C2/c | 4e 8f 8f,65
Pnma | 4c 4c 4c 4c,64
Pmma | 2a 2e 2e 2f 4j,64
Fddd | 8a 16g 16g,63
P1 | 1a 1a 1a 1a 1a 1a 1a 1a,63
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e,62
Immm | 2a 2c,62
P6/mmm | 1a 2c 2d 2e 6i,62
P-3m1 | 1a 2d 2d 2d,61
P4/nmm | 2a 2b 2c 2c,60
I4mm | 2a 2a 2a 4b,60
P6_3/mmc | 2a 2c 6h 6h 12k,60
P6_3/mmc | 2a 2c 6h,60
Fmmm | 4a 8i 8i,60
Fm-3m | 4a 8c 24e,59
Cmcm | 4c 4c 4c 4c,58
Cm | 2a 2a 2a 2a 2a 2a 2a 2a,58
C2/m | 4i 4i 4i 4i 4i 4i 4i,57
Pnma | 4c 4c 4c 4c 4c 4c,56
Pm-3n | 2a 6c 8e 24k,54
P4/mmm | 1a 1c,54
P2_1/m | 2e 2e 2e 2e,53
P6_3 | 2a 2b 2b 6c 6c 6c,53
P-1 | 2i 2i 2i 2i 2i 2i,53
Pna2_1 | 4a 4a 4a 4a,53
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,52
Imm2 | 2a 2b 4d 4d 4d,52
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,51
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,50
P2_1/c | 4e 4e 4e,50
C2/m | 4g 4h 4i 4i 8j 8j,50
Pbam | 2a 4g 4g 4g 4h 4h 4h,50
P4/mmm | 1a 1b 1c 1d 2e 2f 4j 4k 4l 4m 4n 4o,49
P2_1/c | 4e 4e 4e 4e 4e,49
Pmmn | 2a 2b 4f,49
I4/mcm | 4a 8h 16l,48
P2_1/c | 2a 2d 4e 4e 4e 4e,47
R-3m | 3a 6c 6c 9d 18h,47
Pnma | 4c 4c 4c 4c 4c 8d,47
P-3m1 | 2d 2d 2d,47
P2_1/m | 2e 2e 2e 2e 2e,47
Pmmm | 1a 1b 1c 1d 1e 1f 1g 1h 2m 2n 2o 2p 2q 2r 2s 2t 4u 4v,46
Fd-3m | 8a,46
P-3m1 | 2c 2d 2d 2d 2d 2d 2d,46
R-3m | 3a 6c 9d,46
I-42d | 4a 4b 8d,45
Pbam | 2a 4g 4g 4h 4h 4h,45
C2 | 2a 2b 4c 4c 4c,45
P4_132 | 8c 12d,44
I4cm | 4a 4b 8c 16d,44
P-6m2 | 1a 1b 2i,44
F-43m | 4a 4d,43
P4/nmm | 2a 2c 2c 2c,43
P6_3/mmc | 2a 2b 4f 4f,43
I4/mmm | 2a 8j,43
P-6m2 | 1a 1d 2i,43
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,42
I4/mmm | 2a 4d 8h,42
Pmmm | 1a 1h 2q 2t,42
Imma | 4a 4c 4e 8h 8i,41
Pbcm | 4c 4d 4d 8e 8e,41
Pm | 1a 1a 1a 1a 1b 1b 1b 1b,41
Pmm2 | 1a 1a 1c 1d,41
P-1 | 2i 2i 2i 2i,41
Cmcm | 4c 4c 8f 8f 8f,40
P-3m1 | 2c 2d 2d 2d,40
P3m1 | 1a 1a 1a 1b 1b 1b 1c,39
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i 2i,38
Pnma | 4c 4c 4c 4c 8d,38
C2/c | 4e 8f,38
Pbam | 2a 4g 4h,38
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,37
I4/mmm | 2a 4c 4e 4e,37
P6_3/mmc | 2b 2c 4f 6g 12j 12k,37
R-3m | 3a,37
Pmma | 2a 2e 2f 2f,37
Pbam | 4g 4g 4g 4g 4g 4g 4h 4h 4h,36
P1 | 1a 1a 1a 1a 1a 1a 1a 1a 1a 1a,36
Immm | 2a 2d 4i 8l,36
P2/m | 1a 1c 1e 1h,36
P6_3cm | 2a 4b 6c 6c 6c,36
Cmmm | 2a 2d 4i 4j,36
P4_2/mnm | 4d 4f 4g 8j,35
P4/mmm | 1a 1b 1c 4i,35
P-1 | 2i 2i 2i 2i 2i,35
P2_1/m | 2e 2e 2e,35
Pnma | 4a 4c 4c 4c 4c 8d,35
Pmm2 | 1a 1a 1b 1b 1c 1c 1d 1d,35
P4/mmm | 1a 1b 1c 1d,35
I4/m | 2a 8h 8h 8h,35
Immm | 2a 2d 4j 8l,35
Fmm2 | 4a 4a 8b 8c 8c 8c 8c 8c 8d,35
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,34
P-1 | 2i 2i 2i 2i 2i 2i 2i 2i 2i,34
Immm | 2a 4h 4j,34
P2_1/c | 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e 4e,34
R3m | 3a 3a 3a 3a 9b 9b,34
P-62m | 2c 3f 3g,34
Cmcm | 4c,33
Pc | 2a 2a 2a 2a 2a 2a 2a 2a 2a 2a,33
Pbam | 2a 4g 4h 4h,33
Cmcm | 4c 4c 8e 8g,33
P4/mmm | 1a 1b 1c,33
P2_13 | 4a 4a 4a,33
R-3 | 3a 3b 18f 18f,32
Ibam | 4a 4b 8g 8j 8j 8j,32
P6/mmm | 1a 1b 4h,32
