cluster_id,n_samples,largest_sv,top_sv_fraction
107,12474,327.8723023167099,0.507087446849467
108,10781,294.1866067515599,0.3078086444216762
109,15020,412.3926229570414,0.3747689371024081
110,12887,237.81290144048774,0.5344505110066259
111,9857,213.6496331116709,0.18274392889426005
112,11920,299.6680623940755,0.3221727010236856
113,9334,229.8761125404739,0.41012445291339295
114,11827,239.6400004805023,0.319732081257701
115,11356,373.16535078232687,0.560805510797418
116,10007,247.25278772078883,0.37857646269444384
117,10200,341.8211147186489,0.3371560905488693
118,12411,384.92642568120533,0.39818813353330806
119,13984,259.4459451131449,0.6029197604947839
120,9259,242.6111869346105,0.5890432469889523
121,13749,532.0719359714773,0.4076084974838723
122,8036,345.3895969713857,0.3620948724879126
123,10083,373.29768784477324,0.3960941913241955
124,9342,229.04793669283185,0.45044119857711284
125,8678,216.902051378066,0.3965072256555381
126,11734,325.55826103217584,0.34986027068424375
127,11020,370.3256130974089,0.3575634316333541
128,9860,230.34026538414284,0.5303579932587047
129,10596,291.76176498143855,0.2125220646089375
130,10181,260.9508143672678,0.5148366312740328
131,12880,263.09211542832855,0.47797135501818055
132,12305,229.59420683530055,0.534364076244635
133,9932,369.362564645402,0.4906862586852315
134,16355,303.6772540006944,0.19832266020991263
135,7679,151.43192702951376,0.5259163870987672
136,9089,285.3107285605193,0.25522718136810785
137,9097,228.5356751264343,0.15326527529390685
138,9499,298.4108683724392,0.28042006984312184
139,12091,258.43759007943015,0.36136663030696436
140,8598,240.08513969000887,0.526993027655012
141,11446,174.55483019270585,0.700008914664124
142,8528,261.84947683800027,0.3259295978031351
143,10338,191.11011277254775,0.5319658698423162
144,10755,215.17079841370182,0.4326484878808795
145,9304,214.92726431855297,0.5915797530009953
146,8072,220.93816028177102,0.3946034198553666
147,7912,252.58339616607844,0.3454604311853803
148,7836,255.6488627308014,0.2971103924356225
149,9630,289.11694583926896,0.17235752017284786
