cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
81,Fd-3m | 16c 32e 48f,0.2249058276091292,4513,6643
82,I4/mmm | 2a 2b 4d,0.938913362701909,3405,4777
83,Pmmm | 1a 1c 2t,0.48092573753814855,3932,5586
84,R-3m | 3a 3b 6c,0.8028645833333333,3840,5008
85,Immm | 2a 2c 4j,0.6595386833253244,4162,5578
86,Cmmm | 2a 2b 4f,0.5362154821186057,4418,5780
87,R3m | 3a 3a 3a 3a,0.9193721013200142,2803,3750
88,P2/m | 1a 1g 2n,0.3024277456647399,4325,5817
89,Pm | 1a 1a 1b 1b,0.8592892227679861,3461,4930
90,Cmm2 | 2a 2a 2b 2b,0.4752075919335706,4215,5831
91,P4/mmm | 1a 1b 2h,0.4214719271623672,2636,3659
92,Pm | 1a 1a 1b 1b,0.6471067644661777,3681,5142
93,Imm2 | 2a 2a 2b 2b,0.45883777239709445,5782,7987
94,F-43m | 4a 4b 4c 4d,1.0,6848,9190
95,R-3m | 3a 3b 6c,0.9871013133208255,4264,5798
96,P2/m | 1a 1g 2n,0.31056241426611797,3645,5035
97,C2/m | 2a 2d 4i,0.4480830670926518,3756,4897
98,C2/m | 2a 2d 4i,0.42841113105924594,4456,5605
99,Imm2 | 2a 2a 2b 2b,0.4200756893133898,5549,7567
100,C2/m | 2a 2d 4i,0.523312101910828,3925,4911
101,Pmmm | 1a 1d 1f 1g,0.3659459459459459,3700,5115
102,Pm | 1a 1a 1b 1b,0.7035979440319817,3502,4718
103,Pm-3m | 1a 1b 3d,0.3687881429816914,3441,5670
104,Imm2 | 2a 2a 2b 2b,0.4147945205479452,3650,5079
105,F-43m | 4a 4b 4c 4d,0.8002049180327869,4880,6738
106,C2/m | 2a 2d 4i,0.6492447129909366,3310,4124
107,F-43m | 4a 4c 16e,0.8945172824791419,5034,6892
108,F-43m | 4a 4b 4c 4d,0.9929605792437651,4972,6400
109,Cm | 2a 2a 2a 2a,0.9351448346577801,3901,4652
110,Pnma | 4c 4c 8d,0.0764078392458447,4031,5706
111,F-43m | 4a 4b 4c 4d,0.9979682305134836,5414,7397
112,C2/m | 4i 4i 4i,0.08452078860042944,5123,6638
113,I4/mmm | 2a 2b 4d,0.8708399366085579,3786,4985
114,P3m1 | 1a 1b 1c,0.7668905570920584,2531,3569
115,P4/mmm | 1a 1b 2h,0.7647058823529411,3434,4764
116,P3m1 | 1a 1b 1c,0.9602623456790124,2592,3587
117,Pmmm | 1a 1c 2t,0.33313486156594224,3359,4643
118,F-43m | 4a 4b 4c 4d,0.8365068942875903,4569,6723
119,I-43m | 2a 8c 24g 24g,0.2899641577060932,5580,7723
120,I4_1/amd | 4a 8e,0.08887886307241145,4433,5511
121,F-43m | 4a 4b 4c 4d,0.7640426816992149,4967,7041
122,Amm2 | 2a 2a 2b 2b,0.24317988064791135,4692,6412
123,C2/m | 2a 2d 4i,0.4465545306565383,3686,4596
124,F-43m | 4a 4c 16e,0.9115061162079511,5232,7152
125,Fm-3m | 4a 4b 8c,0.4293317563571851,3382,5009
126,Immm | 2a 2c 4j,0.6627352572145546,3985,5446
127,P4mm | 1a 1a 1b 1b,0.7787460148777896,4705,6578
128,F-43m | 4a 4b 4c 4d,0.996,4750,6682
129,P4/mmm | 1a 1b 2h,0.6306368330464716,2905,4070
130,R-3m | 3a 3b 6c,0.998076394613905,3639,5284
131,Pmmm | 1a 1d 1f 1g,0.9385435168738899,2815,4057
132,F-43m | 4a 4b 4c 4d,0.9986320109439124,5117,7908
133,Cmm2 | 2a 2a 2b 2b,0.32775351770984956,4122,5809
134,I4mm | 2a 2a 2a,0.7312078797304302,3858,4795
135,I4mm | 2a 2a 2a,0.5972293483837866,3898,4946
136,Cmmm | 2a 2b 4f,0.5139214155607599,3843,4934
137,P4/mmm | 1a 1d,0.17237834132967786,2918,4521
138,I-4m2 | 2a 2b 2c 2d,0.761661993372419,3923,5364
139,I4/mmm | 2a 2b 4d,0.9411129119394922,3702,5010
140,R-3m | 3a 3b 6c,0.9772230889235569,3205,4615
141,Cm | 2a 2a 2a 2a,0.9915677701436603,3202,3823
142,Fm-3m | 4a 4b 8c,0.9167377095765843,3519,5700
143,Cmm2 | 2a 2a 2b 2b,0.2973842195540309,4664,6363
144,Pmm2 | 1a 1a 1d 1d,0.6677071509648127,3524,4735
145,Fm-3m | 4a 4b 8c,0.8978494623655914,744,7336
146,F-43m | 4a 4c 16e,0.8614757808963331,4418,6365
147,Pm | 1a 1a 1b 1b,0.8488233895887806,4207,5699
148,Pm | 1a 1a 1b 1b,0.9541062801932367,3312,4782
149,R3m | 3a 3a 3a 3a,0.7521865889212828,2744,3542
150,Cm | 2a 2a 2a 2a,0.9899474525931004,4377,5206
151,R-3m | 3a 3b 6c,0.9933673469387755,3920,5619
152,P4mm | 1a 1a 1b 1b,0.6457601605619668,3986,5364
153,Immm | 2a 2c 4j,0.7293906810035843,3348,4721
154,I-4m2 | 2a 2b 2c 2d,0.9320715582058595,3857,5257
155,F-43m | 4a 4b 4c 4d,0.9836901121304791,4905,7318
156,I-4m2 | 2a 2b 2c 2d,0.9185595567867036,3610,4874
157,Pmmm | 1a 1d 1f 1g,0.2641765704584041,2945,4231
158,Immm | 2a 2c 4j,0.5389425810119386,3518,4787
159,Immm | 2a 2c 4j,0.5337912087912088,3640,5007
160,R-3m | 3a 3b 6c,0.988456865127582,3292,4547
161,I-4m2 | 2a 2b 2c 2d,0.9004400440044005,3636,5170
162,Cmmm | 2a 2b 4f,0.5936507936507937,4410,5894
163,P4/mmm | 1a 1c 2e,0.8761878903068151,3683,5086
164,Pmm2 | 1a 1a 1d 1d,0.6172150411280846,3404,4536
165,Cmmm | 2a 2b 2c 2d 4i 4j 4k 4l 8n 16r 16r,0.34190620272314676,4627,6181
166,Immm | 2a 2c 4j,0.45255323547653503,4837,6476
167,P4/mmm | 1a 1c 2e,0.7052364864864865,3552,4911
168,P4mm | 1a 1a 1b 1b,0.4519790454016298,3436,4621
169,Cm | 2a 2a 2a 2a 2a 2a,0.23718932187787664,3259,4233
170,P-62m | 1a 2d 3f 3g,0.1099836333878887,3055,4276
171,Fm-3m | 4a 4b 8c,0.8636363636363636,1232,7702
172,P4/mmm | 1a 1c 2e,0.879438717067583,3492,4750
173,Pm | 1a 1a 1b 1b,0.5547210300429185,3728,5237
174,P2/m | 1a 1g 2n,0.5440307328605201,3384,4853
175,Immm | 2a 2c 4j,0.5261184034288776,3733,4823
176,Imm2 | 2a 2a 2b 2b,0.43344465648854963,4192,5763
177,Cm | 2a 2a 2a 2a,0.9940842404164695,4226,4974
178,R-3m | 3a 9e,0.3298413648608201,3341,4268
179,Pmmm | 1a 1d 1f 1g,0.9063829787234042,3525,4961
180,Cm | 2a 2a 2a 2a,0.8920308483290489,4279,5224
181,P4mm | 1a 1a 1b 1b,0.8098859315589354,4208,5697
182,C2/m | 2a 2d 4i,0.345695076989807,4611,6004
183,I4/mmm | 2a 2b 4d,0.9017423593259069,3501,4795
184,Imm2 | 2a 2a 2b 2b,0.35844155844155845,4235,5892
185,Cm | 2a 2a 2a 2a,0.9981189748412885,4253,4967
186,R-3m | 3a 3b 6c,0.9706693406868889,3989,5524
187,P4mm | 1a 1a 1b 1b,0.800723763570567,4145,5778
188,Fm-3m | 4a 4b 8c,0.8959554513481829,3412,5815
189,C2/m | 2a 2d 4i,0.8467640165855417,5547,6493
190,Imm2 | 2a 2a 2b 2b,0.42935528120713307,4374,5871
191,Imm2 | 2a 2a 2b 2b,0.4752202643171806,3632,5026
192,Cm | 2a 2a 2a 2a,0.9740573152337858,3315,3897
193,P4/mmm | 1a 1b 2h,0.6482655725475569,2681,3738
194,Pm | 1a 1a 1b 1b,0.8509335782063054,3267,4568
195,P4/mmm | 1a 1c 2e,0.5879446640316206,3036,4203
196,P-6m2 | 1a 1b 2h,0.2600253271422541,2369,2968
197,Immm | 2a 2c 4j,0.1779842744817727,4197,5400
198,I4mm | 2a 2a 2a,0.7372060857538036,4338,5461
199,Pmmm | 1a 1d 1f 1g,0.32151898734177214,3555,4980
200,R-3m | 3a 3b 6c,0.4408297972654408,2121,2913
201,Cm | 2a 2a 2a 2a,0.9995567375886525,4512,5340
202,I4/mmm | 2a 4e,0.09607233681831026,3539,4570
203,I4/mmm | 2a 2b 4d,0.8243559718969555,4270,5944
204,Cmm2 | 2a 2a 2b 2b,0.324953636925613,4853,6444
205,P4/mmm | 1a 1c 2e,0.8563843907618794,3767,5143
206,Immm | 2a 2c 4j,0.5219619326500732,4098,5498
207,P6/mmm | 2c 2e 3g,0.08095676172953081,4348,5695
208,Pm | 1a 1a 1b 1b,0.47265732344050565,3639,5219
209,I-4m2 | 2a 2b 2c 2d,0.9489496824621397,4094,5709
210,I4mm | 2a 2a 2a,0.7568331762488218,4244,5295
211,P4mm | 1a 1a 1b 1b,0.6329046087888531,3732,5253
212,F-43m | 4a 4c 16e,0.9170884191723727,6718,9485
213,F-43m | 4a 4b 4c 4d,0.9682232660956065,3619,5120
214,I4/mmm | 2a 2b 4d,0.5533980582524272,3605,4993
215,P2/m | 1a 1g 2n,0.36725888324873096,3940,5588
216,Immm | 2a 2c 4j,0.37309184993531697,3865,4962
217,I4/mmm | 4c 4d 4e 4e,0.112384679899357,3577,4972
218,R-3m | 3a 3b 6c,0.9705335810990178,3767,5252
219,I-4m2 | 2a 2b 2c 2d,0.5083783016188583,3521,4743
220,P6/mmm | 1a 2d,0.16134374260704992,4227,5479
221,F-43m | 4a 4b 4c 4d,0.800602280060228,4649,6484
222,C2/m | 2a 2d 4i,0.41199301377838154,5153,6553
223,R-3m | 3a 3b 6c,0.950864878415643,3989,5334
224,P4/mmm | 1a 1b 2h,0.6659528907922913,2802,3786
225,Immm | 2a 2c 4j,0.5222854433380749,4218,5813
226,Pmmm | 1a 1d 1f 1g,0.41798941798941797,3591,4863
227,I-4m2 | 2a 2b 2c 2d,0.92090112640801,3995,5439
228,Immm | 2a 2c 4j,0.8072660098522167,3248,4334
229,F-43m | 4a 4b 4c 4d,0.9916117435590174,3338,5312
230,P2/m | 1a 1c 2n,0.24742798353909465,3888,5180
231,Immm | 2a 4i,0.08703113508212797,4079,5497
232,P2/m | 1a 1g 2n,0.6935341009743136,3387,4788
233,Cm | 2a 2a 2a 2a,0.9668113352055144,3917,4760
234,F-43m | 4a 4b 4c 4d,0.7292150487691593,4306,6186
235,P4/mmm | 1a 1c 2e,0.7418290854572713,3335,4472
236,Cmmm | 2a 2b 4f,0.5210042257022123,4023,5505
237,I4/mmm | 2a 2b 4d,0.8847137014314929,3912,5373
238,P4/mmm | 1a 1c 2e,0.8157647794807632,3197,4329
239,P4mm | 1a 1a 1b 1b,0.8162393162393162,5148,6820
240,P3m1 | 1a 1b 1c,0.9277293695540748,1951,2695
241,Imm2 | 2a 2a 2b 2b,0.30731182795698925,4650,6408
242,Cm | 2a 2a 2a 2a 2a 2a,0.23919567827130853,6664,9072
243,I4/mmm | 2a 2b 4d,0.8304710500490677,4076,5295
244,R3m | 3a 3a 3a 3a,0.995201919232307,2501,3592
245,P3m1 | 1a 1b 1c,0.3854941551540914,3764,5191
246,Imm2 | 2a 2a 2b 2b,0.4674929840972872,4276,5848
247,Imm2 | 2a 2a 2b 2b,0.3275046286772269,4861,6640
248,P2/m | 1a 1g 2n,0.7208136792452831,3392,4841
249,Imm2 | 2a 2a 2b 2b,0.4911308203991131,3608,4912
