cluster_i,cluster_k,epsilon
15,25,3.927683650008202e-16
15,26,8.150104181510514e-16
15,27,1.3653169758623175e-15
15,28,8.271430032858878e-16
15,29,4.753268944641445e-16
15,30,6.964936359045456e-16
15,31,6.502892924837779e-16
15,32,4.0173738852595066e-16
15,33,1.014171040088895e-15
15,34,3.836455783468683e-16
15,35,9.503245246285716e-16
15,36,1.1807054858038128e-15
15,37,6.247001686084562e-16
15,38,1.5951775498000445e-15
15,39,7.292523011130715e-16
15,40,6.177019776426895e-16
15,41,2.6333536614000967e-16
15,42,8.055190200184748e-16
15,43,1.1953660467768659e-15
15,44,5.810572770837403e-16
15,45,1.2599821648680275e-15
15,46,5.823511375099424e-16
15,47,1.0252935767405035e-15
15,48,1.1024028238309584e-15
15,49,5.946642844916451e-16
16,17,2.945004104441349e-30
16,18,2.8855396149866065e-30
16,19,2.0588050732325274e-30
16,20,2.8855271011448188e-30
16,21,1.1847825166273813e-30
16,22,1.2194380242890473e-30
16,23,2.3650364250178382e-30
16,24,2.2687600220075777e-30
16,25,3.583694271394342e-30
16,26,4.527993942101931e-16
16,27,1.422050084071092e-16
16,28,1.4073630654360024e-30
16,29,2.8967147634538575e-30
16,30,2.2765364268277973e-30
16,31,6.547962660297003e-30
16,32,2.179147984648565e-30
16,33,1.4820875715755145e-30
16,34,4.0768336003410626e-30
16,35,2.8520390842312e-30
16,36,1.011332403262119e-15
16,37,2.0457844389008676e-30
16,38,1.366451272853673e-15
16,39,2.6107671265168143e-30
16,40,1.2635359320919463e-30
16,41,1.8359878150511546e-30
16,42,1.418997530344158e-30
16,43,2.643390738776055e-16
16,44,4.203596937508571e-30
16,45,5.074255482477309e-30
16,46,3.384747951906559e-30
16,47,1.3244080261181272e-30
16,48,7.028606318449464e-16
16,49,2.5175833166114387e-30
17,18,3.10510524085353e-16
17,19,3.235058361867775e-30
17,20,4.8517154245858325e-30
17,21,2.5382514515373764e-30
17,22,2.130568403902557e-30
17,23,3.1935430232840416e-24
17,24,3.760590171965932e-30
17,25,4.495616074778243e-30
17,26,7.237587029402413e-16
17,27,1.1546379596016983e-15
17,28,1.2352418504380937e-23
17,29,3.9257450060921994e-16
17,30,8.623809865857509e-16
17,31,4.735645816898971e-16
17,32,3.095647472474874e-30
17,33,1.1719570641214917e-24
17,34,4.871207434628165e-16
17,35,4.730439055855333e-30
17,36,1.1369765057145406e-15
17,37,3.755458541501129e-30
17,38,2.197887108999699e-15
17,39,3.903541880179431e-30
17,40,2.1737283960731315e-16
17,41,2.7457430721208224e-16
17,42,3.679562198225271e-30
17,43,7.35703399363905e-16
17,44,5.26344655731068e-16
17,45,4.903114792443619e-16
17,46,4.4175483601846e-30
17,47,3.789264922593382e-30
17,48,1.5991576883494089e-15
17,49,3.867007521577446e-30
18,19,4.1245788934037875e-16
18,20,3.629352007945939e-30
18,21,3.282480047035345e-16
18,22,2.9620627575299457e-16
18,23,1.9041124519592265e-16
18,24,5.34103301521734e-16
18,25,2.8392818546297265e-16
18,26,7.019804777813847e-16
18,27,1.2753198347200587e-15
18,28,2.9418471152405296e-30
18,29,5.613037173504063e-16
18,30,3.9011082730938275e-16
18,31,7.65608957582596e-16
18,32,2.542997044660337e-30
18,33,1.932483326930403e-30
18,34,2.0694894814497347e-16
18,35,5.751438993944579e-16
18,36,2.0368364839321253e-15
18,37,6.381053625744755e-16
18,38,1.0914223366466326e-15
18,39,4.263952998567043e-16
18,40,5.357010787702651e-16
18,41,3.2042239123012444e-30
18,42,1.8706079139436352e-16
18,43,6.356572207821138e-16
18,44,5.363136169968704e-16
18,45,1.0186478248658937e-15
18,46,7.669675308064139e-16
18,47,4.135826433095443e-16
18,48,1.321786904164882e-15
18,49,3.8919807634009476e-16
19,20,2.7436986025102925e-30
19,21,1.9476209875031574e-30
19,22,1.990518621349482e-30
19,23,2.0045527840840755e-30
19,24,2.3308037022917355e-30
19,25,3.3424484924242466e-30
19,26,7.324963393928821e-16
19,27,9.900717350037542e-16
19,28,2.3654693048660064e-30
19,29,5.096139593183164e-16
19,30,8.600976595955087e-16
19,31,6.170803313772077e-16
19,32,2.0531640966616827e-30
