cluster_id,dominant_sg_sites,fraction,n_labeled,cluster_size
0,P3m1 | 1a 1b 1c,0.4111387016672579,5638,7874
45,I-4m2 | 2a 2b 2c 2d,0.471874604980407,7911,11159
46,Immm | 2a 2c 4j,0.35723598435462844,7670,10140
47,C2/m | 2a 2b 4f,0.32873343352917067,7319,9814
48,Cm | 2a 2a 2a 2a,0.8966936076414401,6805,8127
49,P6/mmm | 1a 2d,0.13803833706746327,8034,10560
50,F-43m | 4a 4c 16e,0.9472173144876325,9056,12767
51,P2/m | 1a 1g 2n,0.40176257128045617,7716,10344
52,P4/mmm | 1a 1c 2e,0.6947118106669686,8831,12248
53,R-3m | 3a 3b 6c,0.5824551409854742,7022,9323
54,F-43m | 4a 4b 4c 4d,0.9869034406215317,9010,12020
55,F-43m | 4a 4b 4c 4d,0.6085634994053125,7567,11018
56,I-4m2 | 2a 2b 2c 2d,0.6127974918056149,7017,9327
57,P4mm | 1a 1a 1b 1b,0.3874709976798144,7327,10364
58,R-3m | 3a 3b 6c,0.5343567251461988,6840,9678
59,I4/mmm | 2a 2b 4d,0.552298782649805,8461,11066
60,Cmmm | 2a 2b 4f,0.42300987797791983,8605,11312
61,Immm | 2a 2c 4j,0.23633583896037713,7849,10530
62,P2/m | 1a 1c 2n,0.2602739726027397,7957,10965
63,Cm | 2a 2a 2a 2a,0.8477873855544252,7864,9523
64,P4mm | 1a 1a 1b 1b,0.639901093180635,7684,10585
65,I4/mmm | 2a 2b 4d,0.6314166115884556,9078,12477
66,Pmmm | 1a 1d 1f 1g,0.27781665500349895,5716,8183
67,I4/mmm | 2a 8h 8i,0.1450509898020396,8335,12232
68,P4/mmm | 1a 1c 2e,0.4882218333557679,7429,10468
69,F-43m | 4a 4b 4c 4d,0.5776403811068316,9866,13830
70,F-43m | 4a 4b 4c 4d,0.9823104693140794,8310,11396
71,Imm2 | 2a 2a 2b 2b,0.36949723358191006,8314,11342
72,Immm | 2a 2c 4j,0.2748134750169568,8846,11543
73,P2/m | 1a 1c 2n,0.23148408898901718,7102,9757
74,F-43m | 4a 4b 4c 4d,0.9592187816231532,9882,14307
75,Cmmm | 2a 2b 4f,0.675596749619096,7876,10527
76,P4mm | 1a 1a 1b 1b,0.5034207525655644,8770,11805
77,P4/mmm | 1a 1b 2h,0.2923997823326682,5513,7363
78,P3m1 | 1a 1b 1c,0.9184095610204551,4351,5961
79,R-3m | 3a 3b 6c,0.8617731172545281,9441,13566
80,Pmmm | 1a 1d 1f 1g,0.911486680034374,6982,9884
81,Cm | 2a 2a 2a 2a 2a 2a,0.3050930460333007,8168,11545
82,C2/m | 2a 2d 4i,0.12710096920623237,8151,10276
83,P4/mmm | 1a 1c 2e,0.6381046722800066,6057,8208
84,Cmmm | 2a 2b 4f,0.4773651751738617,7621,10173
85,I4mm | 2a 2a 2a,0.5388479213423105,9357,11776
86,Immm | 2a 2c 4j,0.548448314355883,8958,12163
87,F-43m | 4a 4c 16e,0.9151670951156813,8169,11677
88,F-43m | 4a 4b 4c 4d,0.7271950177066797,8189,11381
89,F-43m | 4a 4b 4c 4d,0.9560315670800451,7983,12435
90,Pm | 1a 1a 1b 1b,0.696969696969697,7029,9855
91,I4mm | 2a 2a 2a,0.6495016611295681,7224,9177
92,Fm-3m | 4a 4b 8c,0.7773058252427184,1648,16068
93,I4/mmm | 4c 4d 4e 4e,0.11310754912099276,7736,10512
94,Immm | 2a 2c 4j,0.38856462179868967,8395,11528
95,Pm | 1a 1a 1b 1b,0.7348884726715478,5873,8264
96,I4/mmm | 2a 2b 4d,0.47393233499722687,7212,9740
97,Cm | 2a 2a 2a 2a,0.9797078827071023,8969,10591
98,R-3m | 3a 3b 6c,0.8191000918273645,6534,9258
99,Cmmm | 2a 2b 4f,0.49553627561926317,7953,10447
100,Pm | 1a 1a 1b 1b,0.38077301015394693,6106,8767
101,I-43m | 2a 8c 24g 24g,0.0737527114967462,10142,13224
102,P2/m | 1a 1g 2n,0.3581900197349873,7094,10118
103,I-4m2 | 2a 2b 2c 2d,0.8575537912783339,8691,11704
104,Cmmm | 2a 2b 4f,0.4118570393624728,8282,11309
105,F-43m | 4a 4c 16e,0.8050184755521183,11637,16347
106,Imm2 | 2a 2a 2b 2b,0.2797942269219777,6998,9815
107,P4mm | 1a 1a 1b 1b,0.588545169244564,8922,12221
108,Fd-3m | 16c 32e 48f,0.12956978388204404,9902,14283
109,C2/m | 2a 2d 4i,0.6749915626054674,8889,10869
110,F-43m | 4a 4b 4c 4d,0.9985166139240507,10112,13540
111,R-3m | 3a 3b 6c,0.7924898600026168,7643,10535
112,Imm2 | 2a 2a 2b 2b,0.250477524512925,7853,10387
113,P4mm | 1a 1a 1b 1b,0.649836438628929,7031,9922
114,Cmm2 | 2a 2a 2b 2b,0.48525,8000,11171
115,P6_3/mmc | 2b 4f 6h 12k,0.06,9300,12125
116,Pm | 1a 1a 1b 1b,0.879631154289478,6073,8720
117,C2/m | 2a 2d 4i,0.3568926695021266,7994,10212
118,F-43m | 4a 4b 4c 4d,0.9740032495938008,8001,12019
119,Imm2 | 2a 2a 2b 2b,0.2049121117264628,8306,11431
120,P-6m2 | 1a 1b 2h,0.13282090699461951,6505,8379
121,P3m1 | 1a 1b 1c,0.8950138504155125,3610,4964
122,Cm | 2a 2a 2a 2a,0.7318746892093486,10055,11988
123,Pm | 1a 1a 1b 1b,0.708638826904686,6274,8537
124,I4/mmm | 2a 2b 4d,0.6496571729957806,7584,10540
125,Pm-3m | 1a 1b,0.08547008547008547,4095,6513
126,Fm-3m | 4a 4b 8c,0.9058862108542384,6099,9353
127,Pm | 1a 1a 1b 1b,0.6899740428293316,6164,8383
128,I-4m2 | 2a 2b 2c 2d,0.6076057846813069,9335,12767
129,Cm | 2a 2a 2a 2a 2a 2a,0.10907101167315175,8224,10590
130,I-4m2 | 2a 2b 2c 2d,0.555505685218432,6684,9067
131,F-43m | 4a 4b 4c 4d,0.971557032548138,10231,15131
132,Cmcm | 4c 4c 8g,0.07609835683486774,8581,11277
133,Pmm2 | 1a 1a 1d 1d,0.21901864832694087,7561,10263
134,Cmm2 | 2a 2a 2b 2b,0.28621787582442576,8794,11889
135,C2/m | 2a 2b 4f,0.24437416372704052,8221,10616
136,I4/mmm | 2a 8h 8i,0.09333199235643166,9943,12903
137,P4mm | 1a 1a 1b 1b,0.5009798865394534,9695,13385
138,F-43m | 4a 4b 4c 4d,0.80328313661647,7371,10620
139,F-43m | 4a 4c 16e,0.9485150785460383,8721,12141
140,R-3m | 3a 3b 6c,0.8552978056426332,7975,11059
141,Fm-3m | 4a 4b 8c,0.9210479730925828,5649,10956
142,P4/mmm | 1a 1c 2e,0.820675105485232,7584,10236
143,Imm2 | 2a 2a 2b 2b,0.38708911831019344,8427,11741
144,P4mm | 1a 1a 1b 1b,0.666363872307293,7706,10476
145,C2/m | 2a 2d 4i,0.5915210203117619,8468,10507
146,P2/m | 1a 1g 2n,0.22811108755564977,9434,12682
147,Immm | 2a 2c 4j,0.23396632031529918,11164,14596
148,Cmm2 | 2a 2a 2b 2b,0.4529839883551674,6870,9196
149,P4/mmm | 1a 1b 2h,0.7048249763481551,5285,7345
