cluster_id,dominant_sg_wyckoff,fraction,n_labeled,cluster_size
0,P1 | a,0.18873454823499428,7847,10867
85,P3m1 | a b c,0.6097907517437354,7742,10485
86,P6/mmm | c e g,0.07925915838213264,7343,9938
87,P4mm | a b,0.4466839427968135,10419,14090
88,I4/mmm | a b d,0.4845255639950119,8821,12302
89,P4/mmm | a c e,0.7797583442995574,8359,11500
90,I4mm | a,0.6077341389728097,8275,10380
91,Pm | a b,0.304437564499484,6783,9082
92,Cmmm | a b f,0.5587487283825026,7864,10708
93,C2/m | a d i,0.11315639269406393,7008,9396
94,P4mm | a b,0.25300508552935735,8652,11675
95,Cmmm | a b f,0.20154468554615668,8157,10788
96,I4mm | a,0.2349780701754386,9120,12122
97,Cm | a,0.3320212219750128,5843,7786
98,R-3m | a b c,0.716039907904835,7818,10589
99,P2/m | a g n,0.399812734082397,6408,8880
100,Pm | a b,0.7492629510037906,7123,9359
101,Pm | a b,0.33190041196489345,5583,7923
102,F-43m | a b c d,0.9962098780054482,8443,11455
103,F-43m | a b c d,0.9965308663938801,11242,15882
104,Cm | a,0.8291768962398243,7739,9209
105,C2/m | a d i,0.1006123184055709,8329,10507
106,Cm | a,0.14020907425369114,9279,12196
107,C2/m | a d i,0.194232917047416,9849,12649
108,I4mm | a,0.41089818798070654,7671,9771
109,P3m1 | a b c,0.3928351783517835,6504,9075
110,F-43m | a b c d,0.9721261884183232,4628,7216
111,Cmm2 | a b,0.20832884967179596,9293,12552
112,I-4m2 | a b c d,0.7109909512248952,9062,12378
113,Fm-3m | a b c,0.5332972387655658,5541,12918
114,Imm2 | a b,0.3342151675485009,6804,9591
115,R-3m | a b c,0.8286640726329443,7710,10711
116,I4/mmm | a b d,0.6170921198668147,8109,11402
117,F-43m | a c e,0.7285915492957746,7100,10758
118,F-43m | a b c d,0.7578464509898599,8284,12257
119,Im-3m | a c,0.13035094485152332,7779,10506
120,F-43m | a b c d,0.9863450159308147,8788,12420
121,P4mm | a b,0.30248562037797866,9736,13572
122,P4mm | a b,0.27021482017861453,8286,11734
123,R-3m | a b c,0.7475300687285223,9312,12032
124,Fm-3m | a b c,0.757314629258517,4990,15057
125,I-4m2 | a b c d,0.406482982171799,9255,12881
126,P4mm | a b,0.49559177130643867,11229,15296
127,P4/mmm | a c e,0.4301587301587302,9450,12734
128,Pmmm | a d f g,0.6197045537785374,8191,11686
129,R-3m | a c h,0.10971313537996981,7948,10698
130,Pmmm | a c t,0.2478918650793651,8064,10918
131,F-43m | a c e,0.8545247904531894,7039,9993
132,F-43m | a b c d,0.9954486989215395,10107,14108
133,Pmmm | a d f g,0.4778045838359469,8290,11564
134,Cmmm | a b f,0.6435223002777324,6121,8257
135,F-43m | a b c d,0.9906394359348407,8226,12845
136,C2/m | a d i,0.34616057372747944,5717,7479
137,Imm2 | a b,0.44973491027732465,9808,13257
138,Pm | a b,0.6953147877013177,6830,9391
139,Cm | a,0.8120283815745016,8879,10641
140,I4/mmm | a b d,0.34050985432733505,9336,12699
141,I-4m2 | a b c d,0.4389777077234857,8882,11965
142,Cm | a,0.8065463085278145,6813,8304
143,R-3m | a e,0.2752201761409127,4996,6466
144,Cmm2 | a b,0.308831974273573,8707,12226
145,Cmmm | a b f,0.6546793147387796,7063,9596
146,I4/mmm | a h i,0.09515751106482687,7682,9819
147,P2/m | a g n,0.5136344567193399,7151,10054
148,Imm2 | a b,0.3256690539012439,7959,10432
149,Pm | a b,0.6128871128871128,6006,8532
