layer,variant,distance,mean_cos
10,centered,28,0.0168501
10,centered,29,0.0138511
10,centered,30,0.01066
10,centered,31,0.00651094
10,centered,32,0.00386577
10,centered,33,0.00045109
10,centered,34,-0.00376939
10,centered,35,-0.00834789
10,centered,36,-0.0125579
10,centered,37,-0.0167875
10,centered,38,-0.0204216
10,centered,39,-0.0258919
10,centered,40,-0.034504
10,centered,41,-0.042273
10,centered,42,-0.0458125
10,centered,43,-0.0489838
10,centered,44,-0.0515213
10,centered,45,-0.0548747
10,centered,46,-0.0580565
10,centered,47,-0.052683
10,centered,48,-0.038037
10,centered,49,-0.0237593
10,centered,50,-0.0032334
10,centered,51,0.0112256
10,centered,52,0.00583226
12,raw,0,0.599114
12,raw,1,0.595687
12,raw,2,0.592181
12,raw,3,0.589902
12,raw,4,0.588038
12,raw,5,0.586701
12,raw,6,0.584891
12,raw,7,0.582827
12,raw,8,0.581795
12,raw,9,0.58084
12,raw,10,0.579668
12,raw,11,0.578546
12,raw,12,0.577177
12,raw,13,0.575919
12,raw,14,0.57478
12,raw,15,0.573678
12,raw,16,0.572336
12,raw,17,0.570886
12,raw,18,0.570007
12,raw,19,0.568978
12,raw,20,0.568305
12,raw,21,0.567732
12,raw,22,0.566856
12,raw,23,0.566693
12,raw,24,0.566295
12,raw,25,0.566982
12,raw,26,0.567163
12,raw,27,0.567334
12,raw,28,0.567895
12,raw,29,0.568408
12,raw,30,0.568026
12,raw,31,0.567428
12,raw,32,0.566661
12,raw,33,0.565864
12,raw,34,0.564843
12,raw,35,0.563563
12,raw,36,0.562686
12,raw,37,0.561125
12,raw,38,0.559601
12,raw,39,0.557443
12,raw,40,0.553983
12,raw,41,0.550848
12,raw,42,0.548431
12,raw,43,0.545094
12,raw,44,0.541582
12,raw,45,0.538602
12,raw,46,0.53487
12,raw,47,0.532756
12,raw,48,0.532972
12,raw,49,0.532721
12,raw,50,0.535981
12,raw,51,0.535335
12,raw,52,0.526095
12,centered,0,0.0840712
12,centered,1,0.0752781
12,centered,2,0.0664313
12,centered,3,0.0608396
12,centered,4,0.0564087
