layer,variant,label_col,n_structures,same_sg_pairs,diff_sg_pairs,mean_cos_same_sg,mean_cos_diff_sg,ratio,delta,macro_mean_cos_same_sg,null_ratio,cc_n_structures,cc_same_sg_pairs,cc_diff_sg_pairs,cc_mean_cos_same_sg,cc_mean_cos_diff_sg,cc_ratio,cc_delta,cc_null_ratio
12,raw,point_group,132839,747977904.0,8075055637.0,0.7021056267536373,0.5717425836725678,1.2280100289953693,0.1303630430810695,0.7128340018848769,0.9998193721248327,63173,195793.0,412916.0,0.8556988089218648,0.6944319289518563,1.2322284924505376,0.16126687997000844,1.0699837018060612
12,centered,point_group,132839,747977904.0,8075055637.0,0.23867316826708015,-0.020305526137896695,-11.754099186902558,0.25897869440497684,0.3271033465604294,0.9833093802320011,63173,195793.0,412916.0,0.7051522969041203,0.3187061433420093,2.2125469233500423,0.386446153562111,1.3350027969669003
14,raw,point_group,132839,747977904.0,8075055637.0,0.7088868240089675,0.5805235244298498,1.2211164477876884,0.12836329957911774,0.7165200991688718,0.9999046452017887,63173,195793.0,412916.0,0.865107515166501,0.7098903373622382,1.2186495147701377,0.1552171778042628,1.0644312169410621
14,centered,point_group,132839,747977904.0,8075055637.0,0.2422968321791413,-0.020613711143048358,-11.754158700378026,0.26291054332218966,0.31607131589695237,1.006396014053845,63173,195793.0,412916.0,0.7130068909146204,0.3271804082443927,2.1792469015505,0.38582648267022773,1.3176809092182373
16,raw,point_group,132839,747977904.0,8075055637.0,0.7511087859749361,0.6267584217172393,1.1984023827186756,0.12435036425769685,0.7544414731912799,1.0003566485993967,63173,195793.0,412916.0,0.8887672721270237,0.7518060748996561,1.1821762310788029,0.13696119722736755,1.0532622195300723
16,centered,point_group,132839,747977904.0,8075055637.0,0.2575438394714914,-0.02183076008686242,-11.797291456951115,0.2793745995583538,0.31659410657580755,1.0095402243117164,63173,195793.0,412916.0,0.7456038339252445,0.3566850224518531,2.0903704585069574,0.38891881147339147,1.3053962005414614
18,raw,point_group,132839,747977904.0,8075055637.0,0.8045310643362699,0.6956708989487155,1.1564822756738304,0.10886016538755439,0.8088233440312914,1.000305318048932,63173,195793.0,412916.0,0.9135725206895094,0.7959449927335689,1.1477834888463387,0.11762752795594056,1.041200397860862
18,centered,point_group,132839,747977904.0,8075055637.0,0.2754542900555546,-0.023201495820750914,-11.872264279150238,0.29865578587630554,0.32518532741052164,1.0177324689723208,63173,195793.0,412916.0,0.7611766795259036,0.3564253909269443,2.135584890701348,0.4047512885989593,1.3002179331563364
20,raw,point_group,132839,747977904.0,8075055637.0,0.8252742708060975,0.7268674277924358,1.1353848573357213,0.09840684301366165,0.8308817295420872,1.0001230063010775,63173,195793.0,412916.0,0.9266626815529367,0.8194814588499323,1.1307915164467828,0.10718122270300445,1.0385126184372262
20,centered,point_group,132839,747977904.0,8075055637.0,0.2809044131389388,-0.023834961235727235,-11.785394167869645,0.3047393743746661,0.3230371862480578,1.014195951301149,63173,195793.0,412916.0,0.7770533787295075,0.3783547263029147,2.0537694515474096,0.3986986524265928,1.2957904200683743
22,raw,point_group,132839,747977904.0,8075055637.0,0.8412750182329487,0.7520039347017007,1.1187109261159112,0.08927108353124802,0.8469927593785554,0.9999238354058434,63173,195793.0,412916.0,0.9332226182763116,0.8350560422496002,1.1175568717067845,0.09816657602671142,1.0329557440363684
22,centered,point_group,132839,747977904.0,8075055637.0,0.2798415174048236,-0.023857174975390742,-11.729868171461497,0.30369869238021435,0.32481353672955565,0.9965172074126565,63173,195793.0,412916.0,0.7798584745570184,0.3833884603690511,2.034120885658175,0.3964700141879673,1.2799954597904442
24,raw,point_group,132839,747977904.0,8075055637.0,0.8639937231597332,0.7898511586667863,1.093869033018948,0.07414256449294687,0.8700921011408633,1.0000765586052167,63173,195793.0,412916.0,0.9430683353224655,0.8597805001684358,1.0968710445720893,0.08328783515402971,1.0270452381497719
24,centered,point_group,132839,747977904.0,8075055637.0,0.27890358685872846,-0.02366159041462717,-11.787186827742369,0.30256517727335563,0.3212793520197365,1.0182725925652831,63173,195793.0,412916.0,0.7812613721348468,0.38707678149400404,2.018362788693769,0.39418459064084277,1.2781572548470401
26,raw,point_group,132839,747977904.0,8075055637.0,0.8854188070006247,0.824686330344696,1.07364312275013,0.060732476655928735,0.890265902841567,1.0000027617724698,63173,195793.0,412916.0,0.9532132583062782,0.8847725999911211,1.0773539532257712,0.06844065831515711,1.022256525275673
26,centered,point_group,132839,747977904.0,8075055637.0,0.2729872557128695,-0.023061048080585404,-11.837591021836149,0.2960483037934549,0.31554034953434784,0.9812009952234964,63173,195793.0,412916.0,0.7703854872066925,0.37047470295098933,2.0794550372002267,0.3999107842557032,1.2800634705913272
28,raw,point_group,132839,747977904.0,8075055637.0,0.8848396827344218,0.8235817912911527,1.0743798516322627,0.0612578914432691,0.8884167467017874,0.9998582912240536,63173,195793.0,412916.0,0.9531694654789598,0.8832060543685082,1.0792152757155582,0.06996341111045157,1.0212878880436262
