layer,variant,distance,mean_cos
28,raw,17,0.805243
28,raw,18,0.803679
28,raw,19,0.802465
28,raw,20,0.800951
28,raw,21,0.799429
28,raw,22,0.797968
28,raw,23,0.797232
28,raw,24,0.796086
28,raw,25,0.795372
28,raw,26,0.79485
28,raw,27,0.794475
28,raw,28,0.794113
28,raw,29,0.793988
28,raw,30,0.793802
28,raw,31,0.792757
28,raw,32,0.791483
28,raw,33,0.790042
28,raw,34,0.787228
28,raw,35,0.786562
28,raw,36,0.784685
28,centered,0,0.250077
28,centered,1,0.240064
28,centered,2,0.2266
28,centered,3,0.212551
28,centered,4,0.197822
28,centered,5,0.181276
28,centered,6,0.163635
28,centered,7,0.146444
28,centered,8,0.129557
28,centered,9,0.11399
28,centered,10,0.0973561
28,centered,11,0.0781219
28,centered,12,0.0588784
28,centered,13,0.0402724
28,centered,14,0.0234379
28,centered,15,0.00679953
28,centered,16,-0.00751473
28,centered,17,-0.019271
28,centered,18,-0.028242
28,centered,19,-0.0390457
28,centered,20,-0.0478811
28,centered,21,-0.0574429
28,centered,22,-0.0662012
28,centered,23,-0.0717177
28,centered,24,-0.0776456
28,centered,25,-0.0820403
28,centered,26,-0.0856652
28,centered,27,-0.0899445
28,centered,28,-0.094535
28,centered,29,-0.096859
28,centered,30,-0.0995905
28,centered,31,-0.102339
28,centered,32,-0.104996
28,centered,33,-0.103141
28,centered,34,-0.104549
28,centered,35,-0.0866429
28,centered,36,-0.0758714
30,raw,0,0.897916
30,raw,1,0.896586
